Date,Camp,SPX
2017-09-18,6454.64,2506.65
2017-09-19,6461.32,2508.24
2017-09-20,6456.04,2500.6
2017-09-21,6422.69,2502.22
2017-09-22,6426.92,2496.66
2017-09-25,6370.59,2496.84
2017-09-26,6380.16,2507.04
2017-09-27,6453.26,2510.06
2017-09-28,6453.45,2519.36
2017-09-29,6495.96,2529.12
2017-10-02,6516.72,2534.58
2017-10-03,6531.71,2537.74
2017-10-04,6534.63,2552.07
2017-10-05,6585.36,2549.33
2017-10-06,6590.18,2544.73
2017-10-09,6579.73,2550.64
2017-10-10,6587.25,2555.24
2017-10-11,6603.55,2550.93
2017-10-12,6591.51,2553.17
2017-10-13,6605.8,2557.64
2017-10-16,6624,2559.36
2017-10-17,6623.66,2561.26
2017-10-18,6624.22,2562.1
2017-10-19,6605.07,2575.21
2017-10-20,6629.05,2564.98
2017-10-23,6586.83,2569.13
2017-10-24,6598.43,2557.15
2017-10-25,6563.89,2560.4
2017-10-26,6556.77,2581.07
2017-10-27,6701.26,2572.83
2017-10-30,6698.96,2575.26
2017-10-31,6727.67,2579.36
2017-11-01,6716.53,2579.85
2017-11-02,6714.94,2587.84
2017-11-03,6764.44,2591.13
2017-11-06,6786.44,2590.64
2017-11-07,6767.78,2594.38
2017-11-08,6789.12,2584.62
2017-11-09,6750.05,2582.3
2017-11-10,6750.94,2584.84
2017-11-13,6757.6,2578.87
2017-11-14,6737.87,2564.62
2017-11-15,6706.21,2585.64
2017-11-16,6793.29,2578.85
2017-11-17,6782.79,2582.14
2017-11-20,6790.71,2599.03
2017-11-21,6862.48,2597.08
2017-11-22,6867.36,2602.42
2017-11-24,6889.16,2601.42
2017-11-27,6878.52,2627.04
2017-11-28,6912.36,2626.07
2017-11-29,6824.39,2647.58
2017-11-30,6873.97,2642.22
2017-12-01,6847.59,2639.44
2017-12-04,6775.37,2629.57
2017-12-05,6762.21,2629.27
2017-12-06,6776.38,2636.98
2017-12-07,6812.84,2651.5
2017-12-08,6840.08,2659.99
2017-12-11,6875.08,2664.11
2017-12-12,6862.32,2662.85
2017-12-13,6875.8,2652.01
2017-12-14,6856.53,2675.81
2017-12-15,6936.58,2690.16
2017-12-18,6994.76,2681.47
2017-12-19,6963.85,2679.25
2017-12-20,6960.96,2684.57
2017-12-21,6965.36,2683.34
2017-12-22,6959.96,2680.5
2017-12-26,6936.25,2682.62
2017-12-27,6939.34,2687.54
2017-12-28,6950.16,2673.61
2017-12-29,6903.39,2695.81
2018-01-02,7006.9,2713.06
2018-01-03,7065.53,2723.99
2018-01-04,7077.91,2743.15
2018-01-05,7136.56,2747.71
2018-01-08,7157.39,2751.29
2018-01-09,7163.58,2748.23
2018-01-10,7153.57,2767.56
2018-01-11,7211.78,2786.24
2018-01-12,7261.06,2776.42
2018-01-16,7223.69,2802.56
2018-01-17,7298.28,2798.03
2018-01-18,7296.05,2810.3
2018-01-19,7336.38,2832.97
2018-01-22,7408.03,2839.13
2018-01-23,7460.29,2837.54
2018-01-24,7415.06,2839.25
2018-01-25,7411.16,2872.87
2018-01-26,7505.77,2853.53
2018-01-29,7466.51,2822.43
2018-01-30,7402.48,2823.81
2018-01-31,7411.48,2821.98
2018-02-01,7385.86,2762.13
2018-02-02,7240.95,2648.94
2018-02-05,6967.53,2695.14
2018-02-06,7115.88,2681.66
2018-02-07,7051.98,2581
2018-02-08,6777.16,2619.55
2018-02-09,6874.49,2656
2018-02-12,6981.96,2662.94
2018-02-13,7013.51,2698.63
2018-02-14,7143.62,2731.2
2018-02-15,7256.43,2732.22
2018-02-16,7239.47,2716.26
2018-02-20,7234.31,2701.33
2018-02-21,7218.23,2703.96
2018-02-22,7210.09,2747.3
2018-02-23,7337.39,2779.6
2018-02-26,7421.46,2744.28
2018-02-27,7330.35,2713.83
2018-02-28,7273.01,2677.67
2018-03-01,7180.56,2691.25
2018-03-02,7257.87,2720.94
2018-03-05,7330.7,2728.12
2018-03-06,7372.01,2726.8
