"DateTime","Aggregated Exchanges","Price"
"2023-02-23 00:00:00",25046.363793149994,24112.185
"2023-02-24 00:00:00",25595.56506251,23478.120000000003
"2023-02-25 00:00:00",13567.49555597,23013.565000000002
"2023-02-26 00:00:00",9266.56079892,23370.995
"2023-02-27 00:00:00",23165.905462950006,23510.465
"2023-02-28 00:00:00",21012.624102499994,23317.809999999998
"2023-03-01 00:00:00",27470.908798009994,23500.005
"2023-03-02 00:00:00",15880.358276129999,23500.525
"2023-03-03 00:00:00",28319.909928590005,22812.19
"2023-03-04 00:00:00",12204.379157290003,22295.105000000003
"2023-03-05 00:00:00",10933.772105819997,22436.46
"2023-03-06 00:00:00",16264.965263099999,22450.41
"2023-03-07 00:00:00",30306.005469089996,22253.14
"2023-03-08 00:00:00",24757.583075590013,21952.72
"2023-03-09 00:00:00",24871.77242358,20970.855
"2023-03-10 00:00:00",40835.18211955001,19984.165
"2023-03-11 00:00:00",44180.561165360006,20373.23
"2023-03-12 00:00:00",30091.675197279998,21331.8
"2023-03-13 00:00:00",57528.13318382,23236.54
"2023-03-14 00:00:00",62044.316553120014,25295.885
"2023-03-15 00:00:00",33049.34129162999,24600.155
"2023-03-16 00:00:00",70567.15665743998,24715.825
"2023-03-17 00:00:00",59877.27932558999,26364.915
"2023-03-18 00:00:00",28094.18851994001,27202.52
"2023-03-19 00:00:00",32144.57527973,27675.04
"2023-03-20 00:00:00",38108.81937333,27882.11
"2023-03-21 00:00:00",28194.70573832,27954.85
"2023-03-22 00:00:00",35003.01949819,27779.405
"2023-03-23 00:00:00",32890.62077078,27999.379999999997
"2023-03-24 00:00:00",20048.712615930002,27732.48
"2023-03-25 00:00:00",12776.515520919998,27499.65
"2023-03-26 00:00:00",11293.481393970002,27830.035
"2023-03-27 00:00:00",20440.00966041,27304.95
"2023-03-28 00:00:00",23353.70878586,27080.815
"2023-03-29 00:00:00",28896.447173799996,27951.370000000003
"2023-03-30 00:00:00",30777.7827642,28452.27
"2023-03-31 00:00:00",24109.718327689996,28095.85
"2023-04-01 00:00:00",18160.628208920003,28538.184999999998
"2023-04-02 00:00:00",9195.09307196,28209.655
"2023-04-03 00:00:00",20183.99004565,27892.449999999997
"2023-04-04 00:00:00",21036.490671869997,28056.04
"2023-04-05 00:00:00",39253.44954392,28311.35
"2023-04-06 00:00:00",14411.607737190001,27958.504999999997
"2023-04-07 00:00:00",12438.655527329996,27950.855
"2023-04-08 00:00:00",9827.288864130001,28014.905
"2023-04-09 00:00:00",9268.56880856,28180.06
"2023-04-10 00:00:00",24695.467168699997,28980.385000000002
"2023-04-11 00:00:00",28560.40216207,30082.975
"2023-04-12 00:00:00",43646.80820198001,30102.425000000003
"2023-04-13 00:00:00",19190.492460670004,30236.129999999997
"2023-04-14 00:00:00",22668.458318639994,30520.699999999997
"2023-04-15 00:00:00",13342.61226135,30425.795
"2023-04-16 00:00:00",11000.30395881,30357.545
"2023-04-17 00:00:00",20848.385815759997,29795.015
"2023-04-18 00:00:00",20811.524742920003,29814.239999999998
"2023-04-19 00:00:00",22202.903499009997,29515.745
"2023-04-20 00:00:00",33201.547219529995,28551.88
"2023-04-21 00:00:00",25678.45303168,27760.125
"2023-04-22 00:00:00",22044.85795403999,27516.02
"2023-04-23 00:00:00",9894.53430222,27589.475
"2023-04-24 00:00:00",18276.41040372,27502.45
"2023-04-25 00:00:00",34224.17978211,27799.285
"2023-04-26 00:00:00",39231.036309670024,28639.87
"2023-04-27 00:00:00",21067.474040890003,29143.864999999998
"2023-04-28 00:00:00",17097.973880520003,29263.72
"2023-04-29 00:00:00",11254.88473546,29277.160000000003
"2023-04-30 00:00:00",10078.069441770003,29537.010000000002
"2023-05-01 00:00:00",17063.799139999996,28510
"2023-05-02 00:00:00",27674.00508542999,28397.285
"2023-05-03 00:00:00",19165.98644476,28715.095
"2023-05-04 00:00:00",16333.397039719997,29037.120000000003
"2023-05-05 00:00:00",18623.20478716,29275.165
"2023-05-06 00:00:00",12142.463559000002,29158.815000000002
"2023-05-07 00:00:00",6383.112866630001,28877.43
"2023-05-08 00:00:00",18015.65033869,28096.765
"2023-05-09 00:00:00",17309.69924274,27739.525
"2023-05-10 00:00:00",17153.452181260003,27590
"2023-05-11 00:00:00",17701.13459117,27186.71
"2023-05-12 00:00:00",20922.129994359995,26464.555
"2023-05-13 00:00:00",8590.222076949998,26877.29
"2023-05-14 00:00:00",7534.80270725,26906.485
"2023-05-15 00:00:00",21574.021316000002,27213.045
"2023-05-16 00:00:00",21702.18428971,27087.67
"2023-05-17 00:00:00",18393.909484350002,27035.050000000003
"2023-05-18 00:00:00",17111.096822299998,26934.205
"2023-05-19 00:00:00",11157.746729859997,26918.85
"2023-05-20 00:00:00",7417.34048418,27001.9
"2023-05-21 00:00:00",7318.84746109,26982.325
"2023-05-22 00:00:00",12738.200782460004,26814.32
"2023-05-23 00:00:00",16409.22276319,27141.875
