Date,DiffLast,DiffMean,CapAct1yrUSD,HashRate,Open,Close,Rate
2022-08-04,28174668481289.0,27933618220262.0,148652556399.0,183293576.2,22848.21484,22628.33208,2.88
2022-08-05,28174668481289.0,28174668481289.0,152705836064.0,210085555.7,22626.83398,23248.9715,2.98
2022-08-06,28174668481289.0,28174668481289.0,151038852328.0,225491830.0,23291.42383,22996.27505,3.03
2022-08-07,28174668481289.0,28174668481289.0,152100861208.0,222690689.0,22963.50586,23153.65847,3.05
2022-08-08,28174668481289.0,28174668481289.0,156368967000.0,201682132.8,23179.52734,23803.65052,3.11
2022-08-09,28174668481289.0,28174668481289.0,152530213085.0,200281563.4,23811.48438,23186.29175,3.03
2022-08-10,28174668481289.0,28174668481289.0,157554558088.0,207284414.8,23162.89844,23923.05848,3.04
2022-08-11,28174668481289.0,28174668481289.0,157436999315.0,196079850.9,23948.3457,23934.43906,3.12
2022-08-12,28174668481289.0,28174668481289.0,160254859400.0,215687835.6,23957.20313,24396.30885,3.11
2022-08-13,28174668481289.0,28174668481289.0,160426737537.0,194679281.5,24402.1875,24426.22257,3.15
2022-08-14,28174668481289.0,28174668481289.0,159663339047.0,186275858.6,24429.05664,24314.20213,3.26
2022-08-15,28174668481289.0,28174668481289.0,157922380155.0,203082702.3,24318.31641,24083.95397,3.2
2022-08-16,28174668481289.0,28174668481289.0,156496334810.0,207284414.8,24126.13672,23868.81935,3.2
2022-08-17,28174668481289.0,28174668481289.0,153003907586.0,180673576.7,23881.31641,23336.34893,3.33
2022-08-18,28351606743494.0,28281568681371.0,152220262370.0,202447354.3,23341.03906,23221.1706,3.27
2022-08-19,28351606743494.0,28351606743494.0,137018081850.0,250867150.6,23213.3125,20906.76631,3.29
2022-08-20,28351606743494.0,28351606743494.0,138587850163.0,209995535.9,20872.8418,21146.6548,3.33
2022-08-21,28351606743494.0,28351606743494.0,141197508229.0,205767438.5,21160.39258,21553.99617,3.37
2022-08-22,28351606743494.0,28351606743494.0,139577669788.0,204358071.4,21531.46289,21301.08406,3.42
2022-08-23,28351606743494.0,28351606743494.0,141118621990.0,242410953.8,21401.04492,21534.51435,3.41
2022-08-24,28351606743494.0,28351606743494.0,140384693514.0,205767438.5,21526.45508,21424.97282,3.45
2022-08-25,28351606743494.0,28351606743494.0,141418894003.0,224089197.2,21395.45898,21587.83958,3.45
2022-08-26,28351606743494.0,28351606743494.0,132623717824.0,248048418.3,21596.08594,20246.16557,3.49
2022-08-27,28351606743494.0,28351606743494.0,131206805920.0,204358071.4,20262.48047,20043.99095,3.57
2022-08-28,28351606743494.0,28351606743494.0,128863087924.0,226907929.4,20041.03516,19673.54122,3.33
2022-08-29,28351606743494.0,28351606743494.0,132872528537.0,221270464.9,19615.1543,20270.96038,3.37
2022-08-30,28351606743494.0,28351606743494.0,130054546244.0,228317294.5,20298.61133,19825.46321,3.42
2022-08-31,30977051760460.0,30383629256625.0,131274077024.0,220515247.0,19799.58203,20024.67161,3.41
2022-09-01,30977051760460.0,30977051760460.0,131680043063.0,212503107.4,20050.49805,20105.46261,3.45
2022-09-02,30977051760460.0,30977051760460.0,130603401736.0,198644209.1,20126.07227,19948.85675,3.45
2022-09-03,30977051760460.0,30977051760460.0,129600611106.0,226362005.8,19969.71875,19803.83327,3.49
2022-09-04,30977051760460.0,30977051760460.0,130680382276.0,258699436.8,19832.4707,19961.91189,3.57
2022-09-05,30977051760460.0,30977051760460.0,129592670953.0,235601272.1,19988.78906,19797.79679,3.33
2022-09-06,30977051760460.0,30977051760460.0,123474709522.0,218662618.3,19817.72461,18846.15054,3.37
2022-09-07,30977051760460.0,30977051760460.0,126416425244.0,224822129.2,18837.68359,19292.90707,3.42
2022-09-08,30977051760460.0,30977051760460.0,126510412842.0,195564453.6,19289.94141,19319.12485,3.41
2022-09-09,30977051760460.0,30977051760460.0,139844961677.0,226362005.8,19328.14063,21363.18945,3.45
2022-09-10,30977051760460.0,30977051760460.0,142105383125.0,241760783.0,21376.91211,21715.59725,3.45
2022-09-11,30977051760460.0,30977051760460.0,142168871283.0,281797599.2,21678.54297,21732.86436,3.49
2022-09-12,30977051760460.0,30977051760460.0,146328894609.0,235601272.1,21770.14844,22364.72358,3.57
2022-09-13,32045359565303.0,31164200572987.0,132201341648.0,212237771.7,22371.48047,20165.04216,3.33
2022-09-14,32045359565303.0,32045359565303.0,132739145650.0,202308899.0,20184.55469,20246.36604,3.37
2022-09-15,32045359565303.0,32045359565303.0,129119094194.0,234168568.5,20242.28906,19696.86987,3.42
2022-09-16,32045359565303.0,32045359565303.0,129285557064.0,203901883.7,19704.00586,19741.57762,3.41
2022-09-17,32045359565303.0,32045359565303.0,131596120628.0,270807190.0,19777.0332,20120.70235,3.45
2022-09-18,32045359565303.0,32045359565303.0,127005574090.0,245319452.5,20127.23438,19427.10026,3.45
2022-09-19,32045359565303.0,32045359565303.0,127924426258.0,207087850.9,19418.57227,19557.97696,3.49
2022-09-20,32045359565303.0,32045359565303.0,123514550404.0,242133487.6,19545.5918,18872.94987,3.57
2022-09-21,32045359565303.0,32045359565303.0,121098103358.0,224610669.2,18891.2832,18506.76075,3.7
2022-09-22,32045359565303.0,32045359565303.0,127011163395.0,203901883.7,18534.65039,19414.53964,3.69
2022-09-23,32045359565303.0,32045359565303.0,126426686111.0,215052767.7,19412.40039,19326.86482,3.88
2022-09-24,32045359565303.0,32045359565303.0,123755004345.0,232575586.1,19296.99023,18924.76779,3.97
2022-09-25,32045359565303.0,32045359565303.0,122821556336.0,234168568.5,18936.31055,18793.15615,3.72
2022-09-26,32045359565303.0,32045359565303.0,125531903893.0,238947520.4,18803.90039,19201.13172,3.76
2022-09-27,32045359565303.0,32045359565303.0,124985114516.0,205494866.1,19221.83984,19106.73891,3.83
2022-09-28,31360548173145.0,31397071447393.0,127222530975.0,234113533.8,19104.62109,19454.93721,3.7
2022-09-29,31360548173145.0,31360548173145.0,127593146649.0,222928607.7,19427.7793,19540.86641,3.69
2022-09-30,31360548173145.0,31360548173145.0,126942443300.0,263461080.4,19573.43164,19435.19469,3.88
2022-10-01,31360548173145.0,31360548173145.0,126091874948.0,282168375.3,19431.10547,19311.86163,3.97
2022-10-02,31360548173145.0,31360548173145.0,124118092243.0,244753785.4,19311.84961,19015.29281,3.72
2022-10-03,31360548173145.0,31360548173145.0,128127011167.0,240076960.0,19044.06836,19633.43259,3.76
2022-10-04,31360548173145.0,31360548173145.0,132761040456.0,254107431.8,19623.58398,20339.97128,3.83
2022-10-05,31360548173145.0,31360548173145.0,131618063901.0,272814728.9,20335.90039,20155.0997,3.46
2022-10-06,31360548173145.0,31360548173145.0,130265544604.0,247871668.3,20161.03906,19950.5478,3.49
2022-10-07,31360548173145.0,31360548173145.0,127571059353.0,266578963.2,19957.55859,19539.14392,3.52
2022-10-08,31360548173145.0,31360548173145.0,126673803512.0,272814728.9,19546.32813,19416.17723,3.55
2022-10-09,31360548173145.0,31360548173145.0,126681636118.0,246312725.8,19417.47852,19428.36713,3.52
2022-10-10,35610794164372.0,33865157417975.0,124880005826.0,282818946.7,19446.41602,19154.40423,3.39
2022-10-11,35610794164372.0,35610794164372.0,124017802349.0,277924882.8,19139.0,19039.28207,3.4
2022-10-12,35610794164372.0,35610794164372.0,124759238529.0,242520438.9,19052.64648,19156.91156,3.53
2022-10-13,35610794164372.0,35610794164372.0,125945534546.0,253141772.8,19156.9668,19387.83368,3.63
2022-10-14,35610794164372.0,35610794164372.0,124537728953.0,276154659.2,19382.5332,19177.6941,3.67
